year,month,nagupande,lusulu,elephant,buffalo,kudu,bushbuck,warthog,bushpig
1962,Jan,306,551,NA,NA,NA,NA,NA,NA
1962,Feb,247,459,NA,NA,NA,NA,NA,NA
1962,Mar,477,681,NA,NA,NA,NA,NA,NA
1962,Apr,492,998,NA,NA,NA,NA,NA,NA
1962,May,304,663,NA,NA,NA,NA,NA,NA
1962,Jun,382,847,NA,NA,NA,NA,NA,NA
1962,Jul,297,757,NA,NA,NA,NA,NA,NA
1962,Aug,627,943,NA,NA,NA,NA,NA,NA
1962,Sept,520,862,NA,NA,NA,NA,NA,NA
1962,Oct,422,471,35,0,20,9,218,18
1962,Nov,766,581,9,2,29,6,302,13
1962,Dec,1009,850,0,1,16,4,90,1
1963,Jan,513,711,0,1,16,0,123,7
1963,Feb,580,720,0,6,10,0,89,5
1963,Mar,342,633,0,5,6,0,52,7
1963,Apr,324,718,0,1,6,1,78,1
1963,May,211,698,0,2,16,1,102,9
1963,Jun,118,997,0,3,13,2,85,10
1963,Jul,76.1,830,0,0,16,1,81,3
1963,Aug,95.6,973,1,0,6,0,41,2
1963,Sep,47.8,533,0,0,5,3,28,3
1963,Oct,43.3,475,0,1,10,6,59,6
1963,Nov,51.7,582,0,0,12,5,54,10
1963,Dec,48.3,782,0,0,8,1,39,4
1964,Jan,43.3,1408,0,1,9,2,60,3
1964,Feb,38.9,1413,1,0,4,0,22,7
1964,Mar,28.9,1645,0,1,4,1,22,4
1964,Apr,41.7,1124,0,0,8,3,23,2
1964,May,47.2,1036,1,0,5,0,31,1
1964,Jun,16.7,901,0,0,9,3,28,5
1964,Jul,11.1,565,0,0,9,2,24,2
1964,Aug,20,1028,0,0,7,4,14,5
1964,Sep,16.7,722,0,0,6,4,23,0
1964,Oct,12.8,462,0,0,3,3,7,3
1964,Nov,8,521,1,0,2,3,19,4
1964,Dec,23.9,649,0,9,0,0,12,4
1965,Jan,32.8,879,0,2,3,0,8,0
1965,Feb,24.4,880,3,6,2,1,10,4
1965,Mar,13.3,1172,0,6,0,3,10,2
1965,Apr,28.9,1287,2,0,0,0,4,1
1965,May,70.8,1260,0,2,0,1,7,1
1965,Jun,37.8,494,0,0,0,0,5,1
1965,Jul,23.6,598,0,0,1,2,6,0
1965,Aug,50.3,808,1,5,1,1,13,2
1965,Sep,30.8,557,0,0,1,1,13,1
1965,Oct,22.2,615,0,0,0,1,11,1
1965,Nov,26.9,812,0,1,0,0,0,0
1965,Dec,15.8,749,0,0,0,0,0,0
1966,Jan,4.2,1018,0,0,0,0,0,0
1966,Feb,4.4,1007,0,0,0,0,0,0
1966,Mar,5.3,612,5,0,3,1,22,5
1966,Apr,5.8,479,0,0,0,0,0,0
1966,May,4.7,847,0,0,0,0,0,0
1966,Jun,3.1,428,0,0,0,0,0,0
1966,Jul,2.5,628,0,0,0,0,0,0
1966,Aug,6.7,946,0,0,0,0,0,0
1966,Sep,3.9,572,0,0,4,0,5,0
1966,Oct,1.1,258,0,0,0,0,4,1
1966,Nov,6.9,352,0,0,0,0,0,0
1966,Dec,2.8,175,0,0,0,0,0,0
1967,Jan,1.9,576,0,0,0,0,16,8
1967,Feb,6.4,636,0,0,0,0,12,4
1967,Mar,5,638,0,0,3,0,7,0
1967,Apr,6.1,529,0,0,0,0,7,3
1967,May,3.1,970,0,0,0,0,3,1
1967,Jun,6.7,585,0,0,0,1,10,1
1967,Jul,1.4,983,0,0,0,0,12,0
1967,Aug,4.4,859,0,0,0,4,11,1
1967,Sep,3.9,630,0,0,4,0,0,0
